Theta, Alpha, Low_beta, High_beta, Gamma 
1.775943646,0.395587251,0.453693149,0.251725843,0.060060439
0.409875793,0.277273181,0.20817906,0.312636698,0.339955079
0.146176536,0.567449202,0.295167505,0.209583074,0.043123768
1.007612692,0.348383424,0.855355515,0.207865829,0.264050923
1.709969815,0.492633228,1.057732929,0.330871749,0.123195205
0.526541425,0.242410404,0.149069635,0.153163377,0.03987854
0.333144856,0.149203574,0.112169994,0.207200259,0.290135664
0.081995883,0.12401668,0.171557313,0.163651557,0.064523881
0.630648677,0.389957395,0.487115527,0.272837062,0.251079769
0.746263665,0.278549812,0.322316625,0.208083181,0.128827397
0.526541425,0.242410404,0.149069635,0.153163377,0.03987854
0.333144856,0.149203574,0.112169994,0.207200259,0.290135664
0.081995883,0.12401668,0.171557313,0.163651557,0.064523881
0.630648677,0.389957395,0.487115527,0.272837062,0.251079769
0.746263665,0.278549812,0.322316625,0.208083181,0.128827397
0.526541425,0.242410404,0.149069635,0.153163377,0.03987854
0.333144856,0.149203574,0.112169994,0.207200259,0.290135664
0.081995883,0.12401668,0.171557313,0.163651557,0.064523881
0.630648677,0.389957395,0.487115527,0.272837062,0.251079769
0.746263665,0.278549812,0.322316625,0.208083181,0.128827397
0.526541425,0.242410404,0.149069635,0.153163377,0.03987854
0.333144856,0.149203574,0.112169994,0.207200259,0.290135664
0.081995883,0.12401668,0.171557313,0.163651557,0.064523881
0.630648677,0.389957395,0.487115527,0.272837062,0.251079769
0.746263665,0.278549812,0.322316625,0.208083181,0.128827397
0.424880815,0.18115261,0.089340267,0.097414852,0.039242793
0.600099142,0.260217954,0.129784094,0.164971003,0.179662882
0.792439728,0.224146007,0.218930291,0.119036772,0.070497642
0.763550263,0.317507712,0.565960384,0.245619122,0.229864932
0.783288244,0.211353301,0.111118694,0.185101262,0.130583633
0.424880815,0.18115261,0.089340267,0.097414852,0.039242793
0.600099142,0.260217954,0.129784094,0.164971003,0.179662882
0.792439728,0.224146007,0.218930291,0.119036772,0.070497642
0.763550263,0.317507712,0.565960384,0.245619122,0.229864932
0.783288244,0.211353301,0.111118694,0.185101262,0.130583633
0.424880815,0.18115261,0.089340267,0.097414852,0.039242793
0.600099142,0.260217954,0.129784094,0.164971003,0.179662882
0.792439728,0.224146007,0.218930291,0.119036772,0.070497642
0.763550263,0.317507712,0.565960384,0.245619122,0.229864932
0.783288244,0.211353301,0.111118694,0.185101262,0.130583633
0.424880815,0.18115261,0.089340267,0.097414852,0.039242793
0.600099142,0.260217954,0.129784094,0.164971003,0.179662882
0.792439728,0.224146007,0.218930291,0.119036772,0.070497642
0.763550263,0.317507712,0.565960384,0.245619122,0.229864932
0.783288244,0.211353301,0.111118694,0.185101262,0.130583633
0.669552225,0.434023455,0.079245168,0.10800139,0.037002168
1.055411438,0.679866854,0.192962253,0.177038816,0.131281113
1.627353523,0.501074021,0.304572877,0.098855341,0.071232005
1.107920495,0.678633092,0.556250986,0.201445718,0.167824913
0.996945296,0.542789035,0.195816118,0.174323247,0.095517914
0.669552225,0.434023455,0.079245168,0.10800139,0.037002168
1.055411438,0.679866854,0.192962253,0.177038816,0.131281113
1.627353523,0.501074021,0.304572877,0.098855341,0.071232005
1.107920495,0.678633092,0.556250986,0.201445718,0.167824913
0.996945296,0.542789035,0.195816118,0.174323247,0.095517914
0.959825774,0.714803997,0.120614546,0.134642278,0.04863298
0.656493774,0.47850368,0.176975014,0.192949045,0.110801267
1.255549947,0.608521948,0.511431463,0.097932488,0.063166687
1.064970377,0.831833333,0.503021403,0.133776277,0.178522364
1.056880995,0.720290605,0.238641367,0.138787841,0.05836415
0.959825774,0.714803997,0.120614546,0.134642278,0.04863298
0.656493774,0.47850368,0.176975014,0.192949045,0.110801267
1.255549947,0.608521948,0.511431463,0.097932488,0.063166687
1.064970377,0.831833333,0.503021403,0.133776277,0.178522364
1.056880995,0.720290605,0.238641367,0.138787841,0.05836415
0.959825774,0.714803997,0.120614546,0.134642278,0.04863298
0.656493774,0.47850368,0.176975014,0.192949045,0.110801267
1.255549947,0.608521948,0.511431463,0.097932488,0.063166687
1.064970377,0.831833333,0.503021403,0.133776277,0.178522364
1.056880995,0.720290605,0.238641367,0.138787841,0.05836415
0.959825774,0.714803997,0.120614546,0.134642278,0.04863298
0.656493774,0.47850368,0.176975014,0.192949045,0.110801267
1.255549947,0.608521948,0.511431463,0.097932488,0.063166687
1.064970377,0.831833333,0.503021403,0.133776277,0.178522364
1.056880995,0.720290605,0.238641367,0.138787841,0.05836415
